Bound, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
10000,9196564,3.274936032E8,3.233989248E8,1.708439168E8,1.218608752E8
10000,7036355,2.72510896E8,2.683985872E8,1.67678752E8,1.186070608E8
10000,24189901,8.116430896E8,3.086012E7,2.99115552E8,2.89116968E8
10000,2638107,1.689369392E8,1.66368192E8,8.6805976E7,3.876856E7
10000,9364905,3.622976128E8,3.817239424E8,2.269450368E8,1.774218304E8
10000,16267454,5.05936992E8,5.661900816E8,1.621106832E8,1.567008752E8
10000,19066354,5.781782784E8,5.731383584E8,1.679603472E8,1.57958944E8
10000,5197763,1.919068768E8,1.803048048E8,1.296181968E8,8.12816176E7
10000,5393285,2.020021456E8,1.910995248E8,1.28186408E8,8.17507408E7
10000,18976719,5.969740624E8,5.730111456E8,1.678945664E8,1.583701792E8
10000,14397009,5.225105632E8,5.193638848E8,1.566744288E8,1.559831008E8
10000,14397403,5.23147984E8,5.193314384E8,1.566281184E8,1.560091392E8
10000,3295075,2.007939888E8,2.00043928E8,1.017417824E8,5.5501E7
10000,1407924,1.267265488E8,1.254821408E8,7.23644832E7,2.30427424E7
10000,15809119,5.406874912E8,5.539404864E8,1.57285144E8,1.565754304E8
10000,7664614,2.881208112E8,2.84347128E8,1.6974236E8,1.187451056E8
10000,6792040,2.747066016E8,2.614852848E8,1.66342136E8,1.186849552E8
10000,3206158,2.001749568E8,1.954576912E8,1.022915344E8,5.48353968E7
10000,2346463,1.60778824E8,1.598429008E8,8.54737056E7,3.83418112E7
10000,9031444,3.251067424E8,3.238857776E8,1.71196672E8,1.222973232E8
10000,20793575,7.464279936E8,7.417683056E8,2.932369024E8,2.830638016E8
10000,1209741,1.155657216E8,1.136625248E8,6.69328336E7,1.56312464E7
10000,11417664,3.948019888E8,3.61351968E8,2.259248576E8,1.774165712E8
10000,17363332,5.346006144E8,5.33429008E8,1.625748544E8,1.571820752E8
10000,16201249,5.169597136E8,5.638559456E8,1.620932176E8,1.566134016E8
10000,19461228,5.875632416E8,5.835167776E8,1.680774176E8,1.58004544E8
10000,4963773,1.742752256E8,2.273872608E8,1.288548544E8,8.0700936E7
10000,23247665,7.866130336E8,4.438751024E8,2.988047696E8,2.887055152E8
10000,17147744,5.290040176E8,5.2373516E8,1.624535712E8,1.571729168E8
10000,14284911,5.184766928E8,5.190657408E8,1.565968672E8,1.559468992E8
10000,23385790,7.921869584E8,4.43261368E8,2.987727616E8,2.888868576E8
10000,10022897,3.411782192E8,3.257529616E8,2.245300464E8,1.77428688E8
10000,16827231,5.195178688E8,5.1851592E8,1.623715344E8,1.56992464E8
10000,865192,1.053689392E8,1.04525008E8,6.30628848E7,1.58017424E7
10000,6479542,2.65395728E8,2.56986608E8,1.6620512E8,1.186973664E8
10000,1686994,1.344586496E8,1.348519232E8,7.39172672E7,2.729736E7
10000,20738512,6.168081408E8,6.17330616E8,1.685855584E8,1.584910336E8
10000,5228314,1.91407504E8,1.817941296E8,1.296294112E8,8.1251672E7
10000,785612,9.89662416E7,9.65795376E7,5.98447136E7,1.07760688E7
10000,14178896,5.217122832E8,5.24107136E8,1.564968464E8,1.558666656E8
10000,9779562,3.362565104E8,3.917664448E8,2.246808368E8,1.77402712E8
10000,21760794,7.704324896E8,6.789901952E8,2.93589656E8,2.834518944E8
10000,18941294,5.728994672E8,5.730212608E8,1.679349856E8,1.578304384E8
10000,11727063,3.780966224E8,3.695235184E8,2.258736304E8,1.773986656E8
10000,10321746,3.358298944E8,3.310901664E8,2.248307888E8,1.774167984E8
10000,22828686,7.951546816E8,7.083784128E8,2.986163712E8,2.876503616E8
10000,9613185,3.92622792E8,3.912891408E8,2.25179656E8,1.771978608E8
10000,12055163,3.807676752E8,3.768068944E8,2.26155072E8,1.774033984E8
10000,1679374,1.345081232E8,1.3029704E8,7.38912048E7,2.72713184E7
10000,12509503,4.22187048E8,3.869224672E8,2.288210256E8,1.806822096E8
10000,14521524,5.281730112E8,5.238719808E8,1.566894624E8,1.559919536E8
10000,3294208,1.99989128E8,1.972808528E8,1.010586688E8,5.53268208E7
10000,9573735,3.544316528E8,3.866709392E8,2.263907136E8,1.774092448E8
10000,9299559,3.839551376E8,3.810800512E8,2.26968856E8,1.77425056E8
10000,9173366,3.279806784E8,3.219265488E8,1.711599472E8,1.21842008E8
10000,5489873,2.026930704E8,1.889331376E8,1.286437136E8,8.17758688E7
10000,4192416,1.707593056E8,2.28715936E8,1.282744016E8,8.10181312E7
10000,11104839,3.629767232E8,3.514377136E8,2.25992752E8,1.774098624E8
10000,17104303,5.25010512E8,5.236593328E8,1.625384976E8,1.570748544E8
10000,1646961,1.332141456E8,1.314765408E8,7.33438816E7,2.30667424E7
10000,13756548,4.468840816E8,4.213760784E8,2.276641616E8,1.824821936E8
10000,15588620,5.526552656E8,5.489620496E8,1.571465696E8,1.563735024E8
10000,5548568,1.924438176E8,1.888320016E8,1.299031232E8,8.18518E7
10000,7669870,2.882376304E8,2.853232656E8,1.69728176E8,1.1932868E8
10000,9128755,3.258825344E8,3.206245008E8,1.702251056E8,1.218336E8
10000,12551258,3.914219424E8,3.917410736E8,2.291553744E8,1.8050464E8
10000,15606710,5.530755504E8,5.490659728E8,1.571598096E8,1.563682272E8
10000,20185036,6.033636352E8,6.025293872E8,1.683712304E8,1.58460416E8
10000,9564258,3.772140528E8,3.864359152E8,2.263246544E8,1.774068352E8
10000,7336603,2.786224304E8,2.753363536E8,1.664868816E8,1.186833808E8
10000,21834396,7.711172656E8,6.789984992E8,2.935639344E8,2.833650976E8
10000,23433674,7.921887552E8,3.0857128E8,2.987469264E8,2.888744544E8
