Problem Size, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,123978,163.2,121.4,115.0,108.8,109.0
1000000,38663,130.8,112.0,111.0,99.6,108.0
1000000,82885,149.4,115.4,115.0,109.8,106.2
1000000,86863,152.8,115.2,109.2,108.4,110.2
1000000,116705,166.4,121.8,110.0,108.4,109.4
1000000,27855,118.4,112.0,118.2,102.6,104.0
1000000,30642,124.4,112.2,114.2,100.4,104.0
1000000,62515,143.6,118.6,111.8,111.6,108.8
1000000,37858,135.0,112.4,112.4,106.0,100.4
1000000,69598,136.8,118.6,112.0,106.0,106.8
1000000,92455,164.4,149.8,125.4,112.8,134.8
1000000,588,115.4,134.2,124.6,124.2,133.6
1000000,35877,154.8,133.8,118.2,122.8,124.8
1000000,114503,180.4,143.4,120.8,115.8,140.0
1000000,116740,183.8,144.2,126.8,122.2,133.2
1000000,74212,175.4,139.2,123.8,124.8,134.6
1000000,79438,173.4,137.2,135.4,125.0,133.4
1000000,28339,138.0,133.4,124.8,120.8,128.8
1000000,34910,146.4,139.4,125.2,129.0,121.4
1000000,57727,147.4,134.8,124.8,119.2,133.8
1000000,27215,131.0,137.0,129.6,121.4,133.8
1000000,2978,133.4,127.8,127.8,128.0,131.2
1000000,39992,141.0,137.4,127.6,121.4,137.6
1000000,14098,130.2,133.8,126.2,133.0,131.2
1000000,49061,148.8,134.0,124.8,124.0,143.6
1000000,103650,168.2,134.8,124.8,121.2,122.0
1000000,9156,115.6,115.0,115.4,105.8,102.0
1000000,103612,159.8,121.2,108.8,106.0,110.2
1000000,53131,132.8,118.2,119.2,102.6,99.2
1000000,49087,128.2,109.6,112.4,103.8,106.0
1000000,52339,128.0,112.0,111.2,103.0,103.6
1000000,83816,152.2,115.0,108.0,101.0,109.2
1000000,101233,162.8,123.6,112.0,109.6,111.8
1000000,124113,171.8,121.6,112.4,106.8,111.6
1000000,48569,127.8,112.4,112.8,106.2,102.6
